source_row_id,record_id,chemical_key,facility_id,location_status,coordinate_status,rejection_reason,has_cbi_location,has_cbi_volume
1110,cdr:1110,CASRN:6358312,REDACTED_RECORD:1110,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1111,cdr:1111,CASRN:6358312,REDACTED_RECORD:1111,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1112,cdr:1112,CASRN:36968271,REDACTED_RECORD:1112,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1159,cdr:1159,CASRN:28214917,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1160,cdr:1160,CASRN:26401354,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1161,cdr:1161,CASRN:2215352,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1162,cdr:1162,CASRN:163149299,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1163,cdr:1163,CASRN:163149288,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1164,cdr:1164,CASRN:151006621,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1165,cdr:1165,CASRN:151006609,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1166,cdr:1166,CASRN:151006585,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1167,cdr:1167,CASRN:147256335,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1168,cdr:1168,CASRN:134758955,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1169,cdr:1169,CASRN:132983381,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1170,cdr:1170,CASRN:1310652,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1171,cdr:1171,CASRN:127883083,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1172,cdr:1172,CASRN:1262661880,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1173,cdr:1173,CASRN:125643610,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1174,cdr:1174,CASRN:114959465,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1175,cdr:1175,CASRN:113706153,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1176,cdr:1176,CASRN:10254576,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1177,cdr:1177,CASRN:2786767,REDACTED_RECORD:1177,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1178,cdr:1178,CASRN:5567157,REDACTED_RECORD:1178,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1179,cdr:1179,CASRN:5567157,REDACTED_RECORD:1179,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1180,cdr:1180,CASRN:5567157,REDACTED_RECORD:1180,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1181,cdr:1181,CASRN:5468757,REDACTED_RECORD:1181,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1182,cdr:1182,CASRN:5468757,REDACTED_RECORD:1182,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1183,cdr:1183,CASRN:5102830,REDACTED_RECORD:1183,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1184,cdr:1184,CASRN:5102830,REDACTED_RECORD:1184,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1185,cdr:1185,CASRN:5102830,REDACTED_RECORD:1185,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1186,cdr:1186,CASRN:2512290,REDACTED_RECORD:1186,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1198,cdr:1198,CASRN:811972,REDACTED_RECORD:1198,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1199,cdr:1199,CASRN:75105,REDACTED_RECORD:1199,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1200,cdr:1200,CASRN:354336,REDACTED_RECORD:1200,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1201,cdr:1201,CASRN:128578223,REDACTED_RECORD:1201,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1206,cdr:1206,CASRN:84742,SRC:bb9d702aa9226958c6f6c6af,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1222,cdr:1222,CASRN:527071,REDACTED_RECORD:1222,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1223,cdr:1223,CASRN:7632000,REDACTED_RECORD:1223,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1224,cdr:1224,CASRN:1313822,REDACTED_RECORD:1224,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1225,cdr:1225,CASRN:16721805,REDACTED_RECORD:1225,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1258,cdr:1258,CASRN:16731558,SRC:608d260f35142a52584f3848,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1259,cdr:1259,CASRN:10102177,SRC:608d260f35142a52584f3848,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1260,cdr:1260,CASRN:7772987,SRC:608d260f35142a52584f3848,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1261,cdr:1261,CASRN:7757837,SRC:608d260f35142a52584f3848,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1262,cdr:1262,CASRN:7681574,SRC:608d260f35142a52584f3848,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1263,cdr:1263,CASRN:4075814,SRC:608d260f35142a52584f3848,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1264,cdr:1264,CASRN:584087,SRC:608d260f35142a52584f3848,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1265,cdr:1265,CASRN:1066337,SRC:608d260f35142a52584f3848,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1287,cdr:1287,CASRN:471341,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1288,cdr:1288,CASRN:4259158,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1289,cdr:1289,CASRN:38900297,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1290,cdr:1290,CASRN:36878203,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1291,cdr:1291,CASRN:3159624,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1292,cdr:1292,CASRN:28629665,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1293,cdr:1293,CASRN:111466,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1294,cdr:1294,CASRN:111206,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1295,cdr:1295,CASRN:107211,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1300,cdr:1300,CASRN:8001783,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1301,cdr:1301,CASRN:7620771,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
1302,cdr:1302,CASRN:141537,REDACTED_RECORD:1302,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1303,cdr:1303,CASRN:10043013,REDACTED_RECORD:1303,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1304,cdr:1304,CASRN:127093,REDACTED_RECORD:1304,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1305,cdr:1305,CASRN:5329146,REDACTED_RECORD:1305,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1306,cdr:1306,CASRN:7758987,REDACTED_RECORD:1306,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
